Southampton,0,1,Watford
Watford,0,2,Southampton
Crystal Palace,1,0,Southampton
Crystal Palace,1,1,Watford
Southampton,0,2,Crystal Palace
Watford,2,1,Crystal Palace
Wolverhampton Wanderers,3,2,Crystal Palace
Wolverhampton Wanderers,1,1,Southampton
Wolverhampton Wanderers,1,1,Watford
Crystal Palace,2,1,Wolverhampton Wanderers
Southampton,0,1,Wolverhampton Wanderers
Watford,0,1,Wolverhampton Wanderers
West Ham United,1,3,Wolverhampton Wanderers
West Ham United,1,1,Crystal Palace
West Ham United,1,0,Southampton
West Ham United,0,0,Watford
Wolverhampton Wanderers,1,1,West Ham United
Crystal Palace,1,1,West Ham United
Southampton,1,1,West Ham United
Watford,1,1,West Ham United
Chelsea,0,2,West Ham United
Chelsea,4,1,Wolverhampton Wanderers
Chelsea,2,0,Crystal Palace
Chelsea,2,1,Southampton
Chelsea,2,1,Watford
West Ham United,3,0,Chelsea
Wolverhampton Wanderers,1,2,Chelsea
Crystal Palace,2,0,Chelsea
Southampton,1,1,Chelsea
Watford,0,2,Chelsea
Everton,2,1,Chelsea
Everton,1,1,West Ham United
Everton,1,2,Wolverhampton Wanderers
Everton,0,0,Crystal Palace
Everton,1,0,Southampton
Everton,1,1,Watford
Chelsea,0,0,Everton
West Ham United,1,1,Everton
Wolverhampton Wanderers,3,1,Everton
Crystal Palace,2,1,Everton
Southampton,1,1,Everton
Watford,0,1,Everton
Tottenham Hotspur,1,1,Everton
Tottenham Hotspur,2,3,Chelsea
Tottenham Hotspur,5,3,West Ham United
Tottenham Hotspur,1,1,Wolverhampton Wanderers
Tottenham Hotspur,2,2,Crystal Palace
Tottenham Hotspur,2,0,Southampton
Tottenham Hotspur,0,1,Watford
Everton,2,2,Tottenham Hotspur
Chelsea,2,1,Tottenham Hotspur
West Ham United,1,5,Tottenham Hotspur
Wolverhampton Wanderers,1,2,Tottenham Hotspur
Crystal Palace,0,2,Tottenham Hotspur
Southampton,1,2,Tottenham Hotspur
Watford,1,3,Tottenham Hotspur
Burnley,0,4,Tottenham Hotspur
Burnley,1,1,Everton
Burnley,1,2,Chelsea
Burnley,1,1,West Ham United
Burnley,0,1,Wolverhampton Wanderers
Burnley,1,0,Crystal Palace
Burnley,0,0,Southampton
Burnley,1,1,Watford
Tottenham Hotspur,0,0,Burnley
Everton,0,0,Burnley
Chelsea,2,0,Burnley
West Ham United,2,1,Burnley
Wolverhampton Wanderers,1,0,Burnley
Crystal Palace,1,1,Burnley
Southampton,0,2,Burnley
Watford,1,1,Burnley
Leeds United,1,1,Burnley
Leeds United,0,1,Tottenham Hotspur
Leeds United,0,2,Everton
Leeds United,0,2,Chelsea
Leeds United,1,0,West Ham United
Leeds United,0,2,Wolverhampton Wanderers
Leeds United,0,0,Crystal Palace
Leeds United,1,1,Southampton
Leeds United,2,1,Watford
Burnley,2,0,Leeds United
Tottenham Hotspur,2,0,Leeds United
Everton,1,1,Leeds United
Chelsea,3,1,Leeds United
West Ham United,0,2,Leeds United
Wolverhampton Wanderers,2,1,Leeds United
Crystal Palace,0,2,Leeds United
Southampton,1,0,Leeds United
Watford,1,1,Leeds United
Brentford,2,0,Leeds United
Brentford,2,1,Burnley
Brentford,1,0,Tottenham Hotspur
Brentford,2,1,Everton
Brentford,2,4,Chelsea
Brentford,0,1,West Ham United
Brentford,1,0,Wolverhampton Wanderers
Brentford,0,0,Crystal Palace
Brentford,2,0,Southampton
Brentford,0,1,Watford
Leeds United,0,1,Brentford
Burnley,1,0,Brentford
Tottenham Hotspur,1,0,Brentford
Everton,2,2,Brentford
Chelsea,1,0,Brentford
West Ham United,1,2,Brentford
Wolverhampton Wanderers,1,1,Brentford
Crystal Palace,1,2,Brentford
Southampton,1,0,Brentford
Watford,1,1,Brentford
Norwich City,1,0,Brentford
Norwich City,0,0,Leeds United
Norwich City,0,1,Burnley
Norwich City,1,0,Tottenham Hotspur
Norwich City,0,0,Everton
Norwich City,1,3,Chelsea
Norwich City,1,1,West Ham United
Norwich City,0,1,Wolverhampton Wanderers
Norwich City,0,1,Crystal Palace
Norwich City,2,1,Southampton
Norwich City,0,1,Watford
Brentford,0,0,Norwich City
Leeds United,2,0,Norwich City
Burnley,1,1,Norwich City
Tottenham Hotspur,0,1,Norwich City
Everton,0,1,Norwich City
Chelsea,2,1,Norwich City
West Ham United,1,1,Norwich City
Wolverhampton Wanderers,0,1,Norwich City
Crystal Palace,0,1,Norwich City
Southampton,0,1,Norwich City
Watford,1,0,Norwich City
Manchester City,3,1,Norwich City
Manchester City,3,0,Brentford
Manchester City,1,0,Leeds United
Manchester City,4,0,Burnley
Manchester City,3,2,Tottenham Hotspur
Manchester City,1,0,Everton
Manchester City,0,3,Chelsea
Manchester City,3,4,West Ham United
Manchester City,3,0,Wolverhampton Wanderers
Manchester City,3,2,Crystal Palace
Manchester City,1,0,Southampton
Manchester City,5,0,Watford
Norwich City,1,3,Manchester City
Brentford,0,1,Manchester City
Leeds United,1,0,Manchester City
Burnley,0,1,Manchester City
Tottenham Hotspur,2,3,Manchester City
Everton,1,4,Manchester City
Chelsea,1,3,Manchester City
West Ham United,2,3,Manchester City
Wolverhampton Wanderers,1,1,Manchester City
Crystal Palace,2,5,Manchester City
Southampton,1,1,Manchester City
Watford,1,1,Manchester City
Brighton and Hove Albion,0,1,Manchester City
Brighton and Hove Albion,1,0,Norwich City
Brighton and Hove Albion,1,2,Brentford
Brighton and Hove Albion,0,1,Leeds United
Brighton and Hove Albion,0,1,Burnley
Brighton and Hove Albion,0,0,Tottenham Hotspur
Brighton and Hove Albion,1,1,Everton
Brighton and Hove Albion,1,0,Chelsea
Brighton and Hove Albion,1,1,West Ham United
Brighton and Hove Albion,2,1,Wolverhampton Wanderers
Brighton and Hove Albion,0,0,Crystal Palace
Brighton and Hove Albion,0,2,Southampton
Brighton and Hove Albion,0,0,Watford
Manchester City,0,0,Brighton and Hove Albion
Norwich City,1,0,Brighton and Hove Albion
Brentford,0,1,Brighton and Hove Albion
Leeds United,1,1,Brighton and Hove Albion
Burnley,0,1,Brighton and Hove Albion
Tottenham Hotspur,2,0,Brighton and Hove Albion
Everton,0,2,Brighton and Hove Albion
Chelsea,2,1,Brighton and Hove Albion
West Ham United,0,0,Brighton and Hove Albion
Wolverhampton Wanderers,0,1,Brighton and Hove Albion
Crystal Palace,1,1,Brighton and Hove Albion
Southampton,1,1,Brighton and Hove Albion
Watford,1,1,Brighton and Hove Albion
Manchester United,1,1,Brighton and Hove Albion
Manchester United,1,3,Manchester City
Manchester United,1,1,Norwich City
Manchester United,1,1,Brentford
Manchester United,0,0,Leeds United
Manchester United,1,0,Burnley
Manchester United,1,2,Tottenham Hotspur
Manchester United,2,0,Everton
Manchester United,1,2,Chelsea
Manchester United,1,1,West Ham United
Manchester United,4,0,Wolverhampton Wanderers
Manchester United,1,1,Crystal Palace
Manchester United,1,0,Southampton
Manchester United,3,1,Watford
Brighton and Hove Albion,0,1,Manchester United
Manchester City,5,3,Manchester United
Norwich City,0,1,Manchester United
Brentford,2,2,Manchester United
Leeds United,1,3,Manchester United
Burnley,0,2,Manchester United
Tottenham Hotspur,2,1,Manchester United
Everton,0,1,Manchester United
Chelsea,1,1,Manchester United
West Ham United,0,1,Manchester United
Wolverhampton Wanderers,1,1,Manchester United
Crystal Palace,0,1,Manchester United
Southampton,1,1,Manchester United
Watford,1,1,Manchester United
Newcastle United,1,1,Manchester United
Newcastle United,1,0,Brighton and Hove Albion
Newcastle United,0,3,Manchester City
Newcastle United,1,0,Norwich City
Newcastle United,0,1,Brentford
Newcastle United,1,2,Leeds United
Newcastle United,1,0,Burnley
Newcastle United,0,2,Tottenham Hotspur
Newcastle United,1,2,Everton
Newcastle United,0,0,Chelsea
Newcastle United,1,0,West Ham United
Newcastle United,1,1,Wolverhampton Wanderers
Newcastle United,1,1,Crystal Palace
Newcastle United,0,1,Southampton
Newcastle United,1,1,Watford
Manchester United,1,3,Newcastle United
Brighton and Hove Albion,1,1,Newcastle United
Manchester City,0,1,Newcastle United
Norwich City,2,1,Newcastle United
